,moviename,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
4,13 going on 30,57139723.0,30000000.0,comedy,2004-04-23,0,0
5,16 blocks,36883539.0,45000000.0,action,2006-03-03,2,2
8,2 guns,75612460.0,61000000.0,action,2013-08-02,30,"25, 3 chickens and 2 deer"
10,2001: a space odyssey,56700000.0,10500000.0,adventure,1968-04-02,8,"4 astronauts, 2 man-apes, 1 tapir and 1 sentient artificial intelligence "
11,2012,166112167.0,200000000.0,action,2009-11-13,5773515433,The population of Earth in 2012 except for Africa and three arks worth of people and animals that survived.
12,21 grams,16248701.0,20000000.0,drama,2003-11-21,4,4
13,22 jump street,191719337.0,50000000.0,comedy,2014-06-13,4,4
14,25th hour,13084595.0,4500000.0,drama,2002-12-19,0,0
15,28 days,37035515.0,43000000.0,comedy,2000-04-14,1,1
16,28 days later,45064915.0,8000000.0,horror,2003-06-27,33,32 and a monkey
18,28 weeks later,28637507.0,15000000.0,horror,2007-05-11,10211,"10,211"
19,30 days of night,39568996.0,30000000.0,horror,2007-10-19,165,"146 people, 12 vampires and 7 dogs"
20,300,210592590.0,60000000.0,action,2007-03-09,3977,"3,971 people, 1 battle rhinocerous, 3 elephants, 1 giant wolf and a big orc-looking dude"
21,3000 miles to graceland,15738632.0,62000000.0,drama,2001-02-23,48,47 and a coyote
27,a beautiful mind,170708996.0,78000000.0,drama,2001-12-21,0,0
28,a christmas story,20605209.0,3250000.0,comedy,1983-11-18,0,0
33,a knightï¿½ï¿½s tale,56083966.0,41000000.0,adventure,2001-05-11,1,1
34,a million ways to die in the west,42720965.0,40000000.0,comedy,2014-05-30,16,16
35,a nightmare on elm street,63075011.0,35000000.0,horror,2010-04-30,4,4
36,a nightmare on elm street,25504513.0,1800000.0,horror,1984-11-09,4,4
37,a nightmare on elm street part 2: freddys revenge,21163999.0,3000000.0,horror,1985-11-01,11,"4, plus 2 birds, 1 rat and 4 fish"
38,a nightmare on elm street 3: dream warriors,44793222.0,5000000.0,horror,1987-02-27,6,6
39,a nightmare on elm street 4: the dream master,49369899.0,13000000.0,horror,1988-08-19,7,6 and a bug
40,a nightmare on elm street: the dream child,22168359.0,6000000.0,horror,1989-08-11,4,3 and a doll
43,ace ventura: pet detective,71602138.0,12000000.0,comedy,1994-02-04,2,1 and a bug
44,across the universe,24343673.0,45000000.0,musical,2007-09-14,10,"9 and Martin Luther King, Jr."
46,adaptation,22498520.0,18500000.0,comedy,2002-12-06,9,6 and 3 dinosaurs
47,admission,18007317.0,13000000.0,romantic comedy,2013-03-22,0,0
51,after earth,60522097.0,130000000.0,action,2013-05-31,51,"21, 20 monkeys, 7 giant bird babies, 1 cave rat (eaten by a flying snake!), 1 giant bird and 1 URSA"
54,artificial intelligence: ai,78616689.0,90000000.0,drama,2001-06-29,7,6 Robots and 1 human recreated by robots
55,airplane!,83453539.0,3500000.0,comedy,1980-07-04,10,10
57,aladdin,208577270.0,28000000.0,comedy,1992-11-11,1,1
58,albino alligator,326308.0,5000000.0,drama,1997-01-17,8,8
59,alice in wonderland,334191110.0,200000000.0,adventure,2010-03-05,4,"1, a frog, a jub-jub bird and a jabberwocky"
61,alien,80930630.0,9000000.0,horror,1979-05-25,8,"5, an android, an alien and a face hugger"
63,avp: alien vs predator,80281096.0,70000000.0,horror,2004-08-13,2350,"26 humans, 6 predators, 85 face huggers, 2,233 aliens and 1 baby alien"
65,alien: resurrection,47748610.0,60000000.0,action,1997-11-26,52,"28 people, 22 face huggers, 12 aliens, 7 clones, 1 spider, 1 alien queen and 1 alien-human hybrid"
66,aliens,85160248.0,17000000.0,action,1986-07-18,485,"169 humans, 156 aliens, 159 face huggers and one alien queen"
67,aliens vs predator - requiem,41797066.0,40000000.0,action,2007-12-25,142,"84 people, 4 unborn children, 24 aliens, 4 predators, 5 face huggers, 1 pralien and 20 baby praliens "
69,all good things,582024.0,20000000.0,drama,2010-12-03,4,"2 people, a fetus and a dog"
74,amadeus,51564280.0,18000000.0,drama,1984-09-19,3,3
77,the amazing spider-man,262030663.0,220000000.0,adventure,2012-07-03,4,"2 people, a mouse and a genetically enhanced spider"
79,american beauty,130058047.0,15000000.0,drama,1999-09-15,1,1
81,american dreamz,7156725.0,17000000.0,black comedy,2006-04-21,2,2
83,american history x,6712241.0,10000000.0,drama,1998-10-30,3,3
84,american hustle,150117807.0,40000000.0,black comedy,2013-12-13,1,1
98,anchorman: the legend of ron burgundy,84136909.0,25000000.0,comedy,2004-07-09,2,1 and a squirrel
101,angels & demons,133375846.0,150000000.0,thriller/suspense,2009-05-15,15,15
105,annabelle,84273813.0,6500000.0,horror,2014-10-03,5,5
106,another happy day,9120.0,4000000.0,drama,2011-11-18,1,1
108,antitrust,10965209.0,30000000.0,thriller/suspense,2001-01-12,2,2
109,apocalypto,50866635.0,40000000.0,adventure,2006-12-08,66,"59 people, 1 tapir, 3 ants, 1 jaguar, 1 monkey and 1 snake"
110,apollo 13,172036360.0,65000000.0,drama,1995-06-30,3,3
111,apollo 18,17686929.0,5000000.0,thriller/suspense,2011-09-02,4,3 astronauts and a spider moon rock
112,appaloosa,20211394.0,20000000.0,western,2008-09-19,13,11 and 2 horses
114,aqua teen hunger force colon movie film for theaters,5520368.0,750000.0,comedy,2007-04-13,17,"2 people, 2 cats, 9 chocolate unicorns, 1 fly, 1 Insanoflex, 1 caterpillar and Chicken Bittle"
116,argo,136025503.0,44500000.0,thriller/suspense,2012-10-12,1,1
117,armageddon,201573391.0,140000000.0,adventure,1998-07-01,434119870,"2,405,324 people and 431,714,546 dinosaurs"
118,armored,15988876.0,20000000.0,thriller/suspense,2009-12-04,6,6
119,army of darkness,11502976.0,11000000.0,horror,1993-02-19,77,77
123,assault on precinct 13,20040895.0,30000000.0,action,2005-01-19,22,22
127,august: osage county,37738810.0,25000000.0,black comedy,2013-12-25,1,1
128,austin powers in goldmember,213117789.0,63000000.0,comedy,2002-07-25,4,3 and a fembot
129,austin powers: international man of mystery,53868030.0,18000000.0,comedy,1997-05-02,25,18 and 7 fembots
130,austin powers: the spy who shagged me,205957794.0,35000000.0,comedy,1999-06-10,6,5 and a fembot
131,australia,49554002.0,130000000.0,drama,2008-11-26,313,"298, 10 cows, 1 horse, 2 flies, 1 kangaroo and a dog"
132,avatar,760507625.0,425000000.0,action,2009-12-18,181,"69 humans, 74 Nav'i, 4 hairless tar dogs, 1 blue deer-thing, 2 avatars, 17 6-legged blue horses, 13 banshees and 1 giant panther dragon."
133,awake,14373825.0,8600000.0,thriller/suspense,2007-11-30,2,2
138,bad boys,65637842.0,23000000.0,action,1995-04-07,21,21
143,bad santa,60060328.0,18000000.0,black comedy,2003-11-26,1,1
145,bad words,7779614.0,10000000.0,comedy,2014-03-14,0,0
148,bangkok dangerous,15298133.0,45000000.0,action,2008-09-05,44,43 and a scorpion
153,basic,26599248.0,50000000.0,thriller/suspense,2003-03-28,3,3
154,batman,248972777.0,35000000.0,action,1989-06-23,54,54
155,batman & robin,107308328.0,125000000.0,action,1997-06-20,13,13
156,batman begins,205343774.0,150000000.0,action,2005-06-15,6,6
157,batman forever,183997904.0,100000000.0,action,1995-06-16,15,15
158,batman returns,162833635.0,80000000.0,action,1992-06-18,6,5 and a cat
160,bats,10155691.0,6500000.0,horror,1999-10-22,10264,"28 people and 10,236 bats"
163,bee movie,126631277.0,150000000.0,comedy,2007-11-02,1,1 bug
164,beerfest,19185184.0,17500000.0,comedy,2006-08-25,17,"4, a trophy, a deer, and a batch of monkey-frogs"
166,behind enemy lines,58855732.0,40000000.0,action,2001-11-30,43,43
167,being john malkovich,22858926.0,13000000.0,black comedy,1999-10-29,0,0
171,bernie,9204489.0,6000000.0,black comedy,2012-04-27,1,1
175,big fish,66432867.0,70000000.0,drama,2003-12-10,1,1
178,big trouble,7262288.0,45000000.0,comedy,2002-04-05,2,1 person and 2 television sets
179,big trouble in little china,10911690.0,25000000.0,action,1986-07-01,36,"35 and a thing they called a guardian but which I think looks like a beholder. Not a behemoth, which is what I said the first time. Wrong b word."
186,black christmas,16235738.0,9000000.0,horror,2006-12-25,7,7
189,black snake moan,9396870.0,15000000.0,drama,2007-03-02,0,no one died but Samuel L. Jackson graced us with 5 motherfuckers and 1 motherfucking
193,blade,70001065.0,45000000.0,action,1998-08-21,69,"22 humans, 46 vampires and a plant"
195,blade: trinity,52397389.0,65000000.0,action,2004-12-08,254,"195 people, 55 vampires, 3 vampire dogs and Dracula"
196,blended,46290741.0,45000000.0,romantic comedy,2014-05-23,1,1 baby boar
197,bless the child,29374178.0,40000000.0,thriller/suspense,2000-08-11,6,6
200,blood and chocolate,3526588.0,15000000.0,horror,2007-01-26,12,12
201,blood diamond,57377916.0,100000000.0,action,2006-12-08,93,92 and a baboon
206,blood work,26199517.0,50000000.0,thriller/suspense,2002-08-09,7,7
207,bloodsport,11806119.0,1500000.0,action,1988-02-26,2,2 bodies and Van Damme gave us 10 full horizontal splits
212,blue valentine,9737892.0,1000000.0,drama,2010-12-29,1,1
215,boogeyman,46363118.0,20000000.0,horror,2005-02-04,5,4 and a bird
216,boogie nights,26384919.0,15000000.0,drama,1997-10-10,9,9
220,the bourne identity,121468960.0,60000000.0,thriller/suspense,2002-06-14,9,8 and a dog
221,the bourne legacy,113203870.0,125000000.0,thriller/suspense,2012-08-10,19,"16 people, a wolf, a fox and an elk"
222,the bourne supremacy,176087450.0,85000000.0,thriller/suspense,2004-07-23,9,9
223,the bourne ultimatum,227471070.0,130000000.0,thriller/suspense,2007-08-03,4,4
224,boyhood,25379975.0,4000000.0,drama,2014-07-11,0,0
225,bram stokers dracula,78142084.0,40000000.0,horror,1992-11-13,103,"95, 1 worm, 1 baby, 1 horse, and 5 vampires"
227,braveheart,75545647.0,72000000.0,drama,1995-05-24,21338,"20,176 men and 1,162 horses"
229,brick,2075743.0,450000.0,drama,2006-03-31,8,7 and a fetus
230,bride of chucky,32368960.0,25000000.0,horror,1998-10-16,10,"8 and 1 and 1/2 dolls. Also, one killer baby doll was spewed."
231,bridge to terabithia,82234139.0,25000000.0,drama,2007-02-16,1,1
234,brokeback mountain,83043761.0,13900000.0,drama,2005-12-09,4,"1, a moose, a coyote and a sheep"
235,broken arrow,70640985.0,65000000.0,action,1996-02-09,27,27
236,broken city,19701164.0,35000000.0,thriller/suspense,2013-01-18,2,2
238,brooklyns finest,27163593.0,17000000.0,thriller/suspense,2010-03-05,16,16
243,bubble boy,5002310.0,13000000.0,comedy,2001-08-24,1,1 cow
246,bug,7006708.0,4000000.0,drama,2007-05-25,3,3
247,bullet to the head,9489829.0,55000000.0,action,2013-02-01,33,33
248,bully,881824.0,2100000.0,drama,2001-07-13,1,1
250,buried,1044143.0,1987650.0,thriller/suspense,2010-09-24,1,1
252,burn after reading,60355347.0,37000000.0,black comedy,2008-09-12,2,2
254,butch cassidy and the sundance kid,102308900.0,6000000.0,western,1969-10-24,31,"29, a snake and a horse"
258,cabin fever,21158188.0,1500000.0,horror,2003-09-12,19,"16 people, a pig, a dog and a deer"
269,cape fear,79091969.0,35000000.0,thriller/suspense,1991-11-15,4,3 and a dog
270,capote,28750530.0,7000000.0,drama,2005-09-30,6,6
271,captain america: the first avenger,176654505.0,140000000.0,action,2011-07-22,105,105
272,captain phillips,107136417.0,55000000.0,drama,2013-10-11,3,3
274,carrie,25878153.0,1800000.0,horror,1976-11-16,135,134 and a pig
277,case 39,13261851.0,27000000.0,horror,2010-10-01,7,6 and a demon child
278,casino,42388160.0,52000000.0,drama,1995-11-22,22,22
281,cast away,233632142.0,85000000.0,drama,2000-12-22,9,"4 people, 2 crabs, 2 fish, and 1 volleyball (WILSON!!)"
283,cat people,4000000.0,134000.0,drama,1942-11-16,5,"3, a bunny, and a panther-person"
284,catwoman,40202379.0,100000000.0,action,2004-07-23,3,3
285,changeling,35739802.0,55000000.0,thriller/suspense,2008-10-24,11,11
289,chernobyl diaries,18119640.0,1000000.0,horror,2012-05-25,6,6
291,chicken run,106793915.0,42000000.0,adventure,2000-06-21,1,1 chicken
293,children of men,35327768.0,76000000.0,thriller/suspense,2006-12-25,15043,"39, a dog, 3 crispy cows and a refugee camp"
303,childs play,31605639.0,9000000.0,horror,1988-11-09,10,5 and 5 rats
304,childs play 2,25459435.0,13000000.0,horror,1990-11-09,8,7 and a doll
306,chloe,3075255.0,13000000.0,thriller/suspense,2010-03-26,1,1
307,choke,2926565.0,3400000.0,comedy,2008-09-26,1,1
313,cinderella,201151353.0,95000000.0,drama,2015-03-13,1,1
315,circle,10024.0,2000000.0,horror,2010-08-27,50,49 and a fetus
316,cirque du freak: the vampires assistant,14046595.0,40000000.0,action,2009-10-23,1,1
319,clash of the titans,30000000.0,15000000.0,adventure,1981-06-12,75,"69 plus 3 giant scorpions, 1 two-headed dog, Medusa and the Kraken"
320,clash of the titans,163214888.0,125000000.0,action,2010-04-01,1291,"1,281 plus 1 fish, 2 giant scorpions, 4 furies, Medusa, a djinn, and the kraken"
321,clay pigeons,1789892.0,8000000.0,thriller/suspense,1998-09-25,3,3
322,clerks,2852326.0,27000.0,comedy,1994-10-19,1,1
324,cloud atlas,27108272.0,102000000.0,drama,2012-10-26,169,168 and a dog
325,cloudy with a chance of meatballs,124870275.0,100000000.0,comedy,2009-09-18,4,1 and 3 gummie bears
326,club dread,5001655.0,8500000.0,comedy,2004-02-27,13,"3 before the credits, then 10 more. And 2 quotes."
331,collateral,100170152.0,60000000.0,action,2004-08-06,15,15
332,colombiana,36665854.0,40000000.0,thriller/suspense,2011-08-26,32,32
335,commando,34896317.0,10000000.0,action,1985-10-04,86,86
336,compliance,319285.0,270000.0,drama,2012-08-17,0,0
338,con air,101087161.0,80000000.0,action,1997-06-06,31,"30, a tank and a car"
339,conan the barbarian,21295021.0,90000000.0,action,2011-08-19,76,"71 people, 3 horses, 1 buzzard and a giant snake"
341,confessions of a dangerous mind,16003576.0,29000000.0,drama,2002-12-31,13,13
343,constantine,75500759.0,75000000.0,action,2005-02-18,283,"5 people, 15 demons, 51 half breeds, 127 cows and 85 bugs"
344,contagion,75658097.0,60000000.0,thriller/suspense,2011-09-09,26000087,"Over 26 million people, 56 monkeys and one pig"
349,cop land,44810734.0,15000000.0,drama,1997-08-15,8,8
350,cop out,44875481.0,37000000.0,comedy,2010-02-26,10,10
351,coraline,75286229.0,60000000.0,adventure,2009-02-06,21,"8 bugs, 2 rats, 1 cocoa beetle, 2 taffy sisters, 6 dog bats, 1 spider hand and 1 Other Dad"
352,cowboys and aliens,100240551.0,163000000.0,action,2011-07-29,130,"35 people, 11 horses, 44 cows and 40 aliens"
354,crank,27838408.0,12000000.0,action,2006-09-01,23,22 and a bird
355,crank 2: high voltage,13684249.0,20000000.0,thriller/suspense,2009-04-17,41,41
357,crazy stupid love,84351197.0,50000000.0,comedy,2011-07-29,0,0
360,creepshow,20036244.0,8000000.0,horror,1982-11-10,18,10 and 8 bugs
361,creepshow 2,14000000.0,3500000.0,horror,1987-05-01,14,13 and a duck
368,cube,489220.0,250000.0,thriller/suspense,1998-09-11,6,6
371,cursed,19294901.0,35000000.0,horror,2005-02-25,5,4 and a werewolf
377,dallas buyers club,27298285.0,5000000.0,drama,2013-11-01,1,1
379,dances with wolves,175293948.0,19000000.0,western,1990-11-09,103,"52 people, 2 dogs, 41 buffalo, 7 horses and a wolf"
383,daredevil,102543518.0,80000000.0,action,2003-02-14,11,10 and a fly
385,the dark knight,533345358.0,185000000.0,action,2008-07-18,26,26
388,dark shadows,79727149.0,150000000.0,black comedy,2012-05-11,23,"21 people, a witch and a dog"
389,dark skies,17418667.0,3500000.0,thriller/suspense,2013-02-22,550,3 flocks of birds
391,dark water,25473093.0,60000000.0,thriller/suspense,2005-07-08,1,1
392,darkness falls,32539681.0,7000000.0,horror,2003-01-24,12,11 and an evil tooth fairy ghost bitch
393,date movie,48548426.0,20000000.0,comedy,2006-02-17,11,10 people and a rat
394,the day after tomorrow,186740799.0,125000000.0,adventure,2004-05-28,2500500000,Most of the Northern Hemisphere
395,day of the dead,5804262.0,3500000.0,horror,1985-07-03,118,117 and one zombie boyfriend
405,dead poets society,94326915.0,16400000.0,drama,1989-06-02,1,1
408,deadfall,66351.0,6000000.0,thriller/suspense,2012-12-07,8,7 and a deer
412,dear john,80014842.0,25000000.0,drama,2010-02-05,2,2
419,death to smoochy,8355815.0,50000000.0,black comedy,2002-03-29,3,3
426,deception,4598506.0,25000000.0,thriller/suspense,2008-04-25,3,3
428,deep rising,11146409.0,45000000.0,action,1998-01-30,4207,"4,206 and one real unfriendly sea monster"
431,defendor,44462.0,3750000.0,drama,2010-02-19,2,2
434,derailed,36020063.0,22000000.0,action,2005-11-11,5,5
435,derailed,36020063.0,22000000.0,action,2005-11-11,13,13
439,desperado,25405445.0,7000000.0,action,1995-08-25,51,51
440,despicable me,251513985.0,69000000.0,comedy,2010-07-09,1,1 bird
442,deuce bigalow: european gigolo,22264487.0,22000000.0,comedy,2005-08-12,4,4
443,deuce bigalow: male gigolo,65535067.0,18000000.0,comedy,1999-12-10,2,1 rainbow fish and 1 chinese tailbar lionfish
444,devil,33601190.0,10000000.0,horror,2010-09-17,7,7
450,diamonds are forever,43800000.0,7200000.0,action,1971-12-17,66,66 and only 1 bitch banged
451,diary of the dead,952620.0,2750000.0,horror,2008-02-15,30,30
453,the dictator,59650222.0,65000000.0,comedy,2012-05-16,2,2
455,die another day,160932247.0,142000000.0,action,2002-11-22,24,24 and 2 bitches banged
456,die hard,80639179.0,28000000.0,action,1988-07-15,23,23
457,die hard 2,117323878.0,70000000.0,action,1990-07-03,265,265
458,die hard: with a vengeance,99983259.0,90000000.0,action,1995-05-19,16,16 plus 5 motherfuckers from Samuel L. Jackson
464,dirty work,9975684.0,13000000.0,comedy,1998-06-12,7,7
465,district 9,115646235.0,30000000.0,thriller/suspense,2009-08-14,95,"48, a little alien dog, and 46 alien eggs"
466,disturbia,80106701.0,20000000.0,thriller/suspense,2007-04-13,6,"4, 1 deer and 1 rabbit"
467,divergent,150947895.0,85000000.0,adventure,2014-03-21,31,31
468,the divine secrets of the ya-ya sisterhood,69586544.0,27000000.0,comedy,2002-06-07,1,1
469,django unchained,162805434.0,100000000.0,western,2012-12-25,56,"52 people, 4 horses and 5 motherfuckers"
470,do the right thing,24289231.0,6000000.0,comedy,1989-06-30,1,1
471,dodgeball: a true underdog story,114326736.0,30000000.0,comedy,2004-06-18,1,1
472,dogma,30651422.0,10000000.0,comedy,1999-11-12,67,"57, 5 demons and 5 gang members"
474,domino,10169202.0,50000000.0,action,2005-10-14,24,22 and 2 goldfish
475,don jon,24477704.0,5500000.0,romantic comedy,2013-09-27,0,0
476,donnie brasco,41954997.0,35000000.0,drama,1997-02-28,6,6
477,donnie darko,1270522.0,4500000.0,drama,2001-10-26,1,1
479,dont be afraid of the dark,24046682.0,25000000.0,horror,2011-08-26,3,1 and 2 evil ass fairies
482,dont say a word,54997476.0,50000000.0,thriller/suspense,2001-09-28,6,6
486,dr no,16067035.0,1000000.0,action,1963-05-08,11,"10 and a huge fucking venomous spider, plus 3 bitches banged"
489,draft day,28842237.0,25000000.0,drama,2014-04-11,0,0
490,drag me to hell,42100625.0,30000000.0,horror,2009-05-29,5,4 and a kitten
493,dream house,21302340.0,50000000.0,horror,2011-09-30,2,2
494,dreamcatcher,33685268.0,68000000.0,drama,2003-03-21,108,"14 people, 1 dog, 1 deer, 29 giant alien ass penis monsters, 3 alien ass worms, 19 alien ass worm babies, 40 alien ass worm eggs and 1 Duddits"
496,dredd,13414714.0,45000000.0,action,2012-09-21,87,87
497,drive,35060689.0,15000000.0,action,2011-09-16,10,10
498,drive angry,10721033.0,50000000.0,action,2011-02-25,67,67
500,drop dead gorgeous,10571408.0,10000000.0,comedy,1999-07-23,7,"5, plus a trailer exploded and one girl lost her hearing"
502,duets,4734235.0,16000000.0,drama,2000-09-15,2,2
503,dumb & dumber,127140750.0,16000000.0,comedy,1994-12-16,2,1 and a bird
504,dune,27447471.0,45000000.0,action,1984-12-14,270,268 and 2 sandworms
508,eagle eye,101440743.0,80000000.0,thriller/suspense,2008-09-26,61,61
509,earth to echo,38934842.0,13000000.0,adventure,2014-07-02,0,0
515,ed wood,5755976.0,18000000.0,comedy,1994-09-30,1,1
516,edge of darkness,43313890.0,60000000.0,drama,2010-01-29,12,12
518,edge of tomorrow,100206256.0,178000000.0,action,2014-06-06,0,0
519,edward scissorhands,53976987.0,20000000.0,comedy,1990-12-07,2,2
520,elektra,24409722.0,65000000.0,action,2005-01-14,22,22
522,elizabeth,30012990.0,25000000.0,drama,1998-11-06,482,482
523,elizabeth: the golden age,16285240.0,55000000.0,drama,2007-10-12,704,704
524,elysium,93050117.0,120000000.0,action,2013-08-09,69,69
526,enchanted,127706877.0,85000000.0,romantic comedy,2007-11-21,3,"1 cockroach, 1 bag of bird seed (which was stabbed with a sword), and 1 evil witch queen who was killed while in dragon form."
527,enemy of the state,111544445.0,85000000.0,action,1998-11-20,13,13
529,equilibrium,1190018.0,20000000.0,action,2002-12-06,187,180 people and 7 dogs
531,escape from tomorrow,171962.0,650000.0,drama,2013-10-11,2,1 and an android
532,eternal sunshine of the spotless mind,34366518.0,20000000.0,comedy,2004-03-19,0,0
533,event horizon,26668092.0,60000000.0,horror,1997-08-15,3,3
535,eves bayou,14821531.0,5000000.0,drama,1997-11-07,4,4 and 0 motherfuckers
540,ex machina,25440971.0,13000000.0,thriller/suspense,2015-04-10,2,2
541,existenz,2840417.0,20700000.0,thriller/suspense,1999-04-23,2,2
543,extract,10823158.0,7500000.0,comedy,2009-09-04,2,1 and a testicle
544,extremely loud and incredibly close,31847881.0,40000000.0,drama,2011-12-25,2763,"2,763"
545,eye of the beholder,16500786.0,15000000.0,thriller/suspense,2000-01-28,5,5
550,falcon rising,11774.0,4500000.0,adventure,2014-09-04,34,34
553,family plot,13200000.0,3000000.0,black comedy,1976-04-09,1,1
555,fantastic four,56117548.0,120000000.0,action,2015-08-07,4,4
556,fantastic four: rise of the silver surfer,131921738.0,120000000.0,action,2007-06-15,2,2
557,the fantastic mr fox,21002919.0,40000000.0,adventure,2009-11-13,6,"2 squabs, 3 chickens, 1 rat"
559,fargo,24547547.0,7000000.0,thriller/suspense,1996-03-08,7,7
560,fast five,209837675.0,125000000.0,action,2011-04-29,35,35
561,fast times at ridgemont high,27092880.0,4500000.0,comedy,1982-08-13,1,1 fetus
564,fear and loathing in las vegas,10562387.0,18500000.0,comedy,1998-05-22,1,1 bat
565,feast,56131.0,3200000.0,horror,2006-09-22,17,"11 plus 3 monsters, 2 baby monsters and a monster cock"
569,3 men and a baby,164016972.0,15000000.0,comedy,1987-11-25,2,2
570,fido,298110.0,8000000.0,horror,2007-06-15,13,13
572,fight club,37030102.0,65000000.0,drama,1999-10-15,1,1
575,final destination,53302314.0,23000000.0,horror,2000-03-17,292,292
576,final destination 2,46896664.0,26000000.0,horror,2003-01-31,26,26
