movieskey,moviename,deathcount,deathcomment
1470,$5 a day,1,1
1087,11-11-11: the prophecy,4,4
1088,111111,24,"22, a butterfly and a rat"
1671,12 angry men,0,0
1708,13 going on 30,0,0
917,16 blocks,2,2
1280,17 girls,1,1 fetus
189,187,6,"4 people, 1 rat and 1 dog. Samuel L. Jackson did not say motherfucker even once. Very disappointing."
2076,2 guns,30,"25, 3 chickens and 2 deer"
725,2001 maniacs,11,"8 people, an armadillo, a cat, and a mouse"
664,2001: a space odyssey,8,"4 astronauts, 2 man-apes, 1 tapir and 1 sentient artificial intelligence "
782,2012,5773515433,The population of Earth in 2012 except for Africa and three arks worth of people and animals that survived.
1915,21 grams,4,4
1829,22 jump street,4,4
1743,25th hour,0,0
252,28 days,1,1
392,28 days later,33,32 and a monkey
2116,28 hotel rooms,0,0
283,28 weeks later,10211,"10,211"
222,30 days of night,165,"146 people, 12 vampires and 7 dogs"
300,300,3977,"3,971 people, 1 battle rhinocerous, 3 elephants, 1 giant wolf and a big orc-looking dude"
923,3000 miles to graceland,48,47 and a coyote
1349,360,2,2
1817,4321,0,0
1582,48 hrs,8,8
1140,5050,1,1
965,68,9,9
1925,a beautiful mind,0,0
2069,a christmas story,0,0
796,a clockwork orange,3,2 and a snake
1982,a far off place,18,"11 people, 5 elephants, 1 leopard and 1 oryx"
2008,a good marriage,1,1
2156,a good old fashioned orgy,0,0
1778,a knights tale,1,1
1827,a million ways to die in the west,16,16
177,a nightmare on elm street ,4,4
662,a nightmare on elm street (2010),4,4
191,a nightmare on elm street 2: freddys revenge,11,"4, plus 2 birds, 1 rat and 4 fish"
197,a nightmare on elm street 3: dream warriors,6,6
206,a nightmare on elm street 4: the dream master,7,6 and a bug
227,a nightmare on elm street 5: the dream child,4,3 and a doll
260,a nightmare on elm street 6: freddys dead: the final nightmare,6,"4, a hamster, and Freddy"
2084,a perfect murder,3,3
1797,ace ventura: pet detective,2,1 and a bug
369,across the universe,10,"9 and Martin Luther King, Jr."
1427,acts of worship,1,1
1799,adaptation,9,6 and 3 dinosaurs
1680,admission,0,0
1928,adore,0,0
119,adrenalin: fear the rush,17,17
1093,adventures of baron munchausen,52,51 and a giant 3-headed mechanical bird
1704,after earth,51,"21, 20 monkeys, 7 giant bird babies, 1 cave rat (eaten by a flying snake!), 1 giant bird and 1 URSA"
1563,after fall winter,3,3
1007,afterlife,2,1 and a baby chick
297,ai artificial intelligence,7,6 Robots and 1 human recreated by robots
366,airplane!,10,10
1701,airport (1970),1,1
1626,aladdin,1,1
1319,albino alligator,8,8
546,alice in wonderland (2010),4,"1, a frog, a jub-jub bird and a jabberwocky"
397,alices restaurant,2,2
932,alien,8,"5, an android, an alien and a face hugger"
2071,alien abduction,174,174 crows
27,alien vs predator,2350,"26 humans, 6 predators, 85 face huggers, 2,233 aliens and 1 baby alien"
956,alien&sup3;,37,"30 plus 2 face huggers, an ox, an android, an alien, and an alien queen fetus"
998,alien: resurrection,52,"28 people, 22 face huggers, 12 aliens, 7 clones, 1 spider, 1 alien queen and 1 alien-human hybrid"
933,aliens,485,"169 humans, 156 aliens, 159 face huggers and one alien queen"
1114,aliens vs predator: requiem,142,"84 people, 4 unborn children, 24 aliens, 4 predators, 5 face huggers, 1 pralien and 20 baby praliens "
2066,all american christmas carol,0,0
1339,all good things,4,"2 people, a fetus and a dog"
1783,all the boys love mandy lane,8,7 and a bull
2018,almost mercy,21,20 and a bird
127,alpha dog,1,1
1532,alyce kills,6,6
354,amadeus,3,3
1600,amanda,0,0
544,amateur porn star killer,1,1
1027,amazing spider-man,4,"2 people, a mouse and a genetically enhanced spider"
655,amelie,1,1
1588,american beauty,1,1
616,american crime an american crime,1,1
316,american dreamz,2,2
1989,american heist,10,10
688,american history x,3,3
1490,american hustle,1,1
1616,american loser,0,0
2126,american mary,6,6
541,american pie presents: the book of love,2,1 and a squirrel
1466,american zombie,2,2
1807,amityville 3-d,4,4
1268,amityville haunting,12,12
257,amityville horror (1979),6,6
29,amityville horror (2005),7,6 and a dog
1187,amityville ii: the possession,5,5
1556,amityville: a new generation,5,5
1247,an american werewolf in london,14,12 and 2 werewolves
2007,an american werewolf in paris,34,"26 people, 7 werewolves and 1 dog"
1903,anatomy of a love seen,0,0
239,anchorman: the legend of ron burgundy,2,1 and a squirrel
2061,and baby will fall,1,1 dog
16,andre the butcher,15,15
558,angels & demons,15,15
608,angels of the universe,2,2
1881,animal house,1,1 horse and a guitar
1415,animal room,4,3 and a bunny
2137,annabelle,5,5
1825,another happy day,1,1
203,antibodies,7,"4, 2 dogs and a porcupine"
416,antitrust,2,2
135,apocalypto,66,"59 people, 1 tapir, 3 ants, 1 jaguar, 1 monkey and 1 snake"
1717,apollo 13,3,3
1467,apollo 18,4,3 astronauts and a spider moon rock
480,appaloosa,13,11 and 2 horses
595,april fools,2,2
1252,aqua teen hunger force colon movie film for theaters,17,"2 people, 2 cats, 9 chocolate unicorns, 1 fly, 1 Insanoflex, 1 caterpillar and Chicken Bittle"
28,are you scared?,7,7
1411,argo,1,1
1422,armageddon,434119870,"2,405,324 people and 431,714,546 dinosaurs"
832,armored,6,6
389,army of darkness,77,77
156,art school confidential,153,3 and an apartment building
878,as good as dead,13,12 and a dog
1424,assault of the sasquatch,16,"14, a bear and a dog"
1551,assault on precinct 13 (2005),22,22
1727,assault on wall street,37,37
380,asylum,7,7
1793,atm,5,5
1667,august: osage county,1,1
1920,austin powers in goldmember,4,3 and a fembot
1899,austin powers: international man of mystery,25,18 and 7 fembots
1919,austin powers: the spy who shagged me,6,5 and a fembot
665,australia,313,"298, 10 cows, 1 horse, 2 flies, 1 kangaroo and a dog"
671,avatar,181,"69 humans, 74 Nav'i, 4 hairless tar dogs, 1 blue deer-thing, 2 avatars, 17 6-legged blue horses, 13 banshees and 1 giant panther dragon."
245,awake,2,2
1180,bachelor party in the bungalow of the damned,6,"2 people, 3 awful vampire chicks and 1 crappy male vampire"
703,backdraft,6,6
1242,bad ass,4,4
302,bad biology,5,4 plus one large mutant penis
1223,bad boys,21,21
421,bad dreams,37,37
1323,bad girl island,4,4
1317,bad kids go to hell,7,6 and a bug
1549,bad lieutenant,1,1
58,bad santa,1,1
73,bad taste,66,"60, plus 5 seagulls and 1 sheep"
2040,bad words,0,0
957,bag of bones,12,11 and an unborn child
288,bambi,3,"1 deer, 2 pheasants"
685,bangkok dangerous,44,43 and a scorpion
1259,barb wire,31,31
1089,barbarella,40,19 and 21 leathermen
1640,barry munday,0,0
750,baseketball,17,"5 people, 2 chickens, 1 skunk, 3 raccoons, 1 dog, 1 kangaroo and 4 other animals that died too fast to identify."
432,basic,3,3
1068,batman,54,54
1125,batman & robin,13,13
339,batman begins,6,6
1078,batman forever,15,15
1071,batman returns,6,5 and a cat
418,batman: the movie,11,"5, a shark, an octopus and 4 noble porpoises"
181,bats,10264,"28 people and 10,236 bats"
2095,battle for the planet of the apes,35,12 humans and 23 apes
292,battle royale,43,43
226,bee movie,1,1 bug
106,beerfest,17,"4, a trophy, a deer, and a batch of monkey-frogs"
1271,before the devil knows youre dead,6,6
714,behind enemy lines,43,43
1859,being john malkovich,0,0
1449,belly,20,20
1243,beneath the dark,4,4
2045,beneath the planet of the apes (1970),17,"10 humans, 1 horse and 6 apes"
1753,bernie,1,1
1787,better living through chemistry,1,1
1707,beyond the time barrier,27,25 and 2 mutants
32,beyond the wall of sleep,17,"15, 1 fly and 1 monster"
1662,big fish,1,1
1356,big money rustlas,10,9 and a bird
167,big nothing,5,5
560,big trouble,2,1 person and 2 television sets
344,big trouble in little china,36,"35 and a thing they called a guardian but which I think looks like a beholder. Not a behemoth, which is what I said the first time. Wrong b word."
157,biker boyz,2,2
1432,bikini girls on ice,12,11 and a dog
379,billy madison,6,6
1152,birdemic: shock and terror,45,"14 people, 30 birds and 1 fish"
1776,birdman,0,0
1270,bitten,7,"4 people, 2 vampires and a cat"
113,black christmas,7,7
482,black dynamite,46,46
1816,black rock,4,4
410,black snake moan,0,no one died but Samuel L. Jackson graced us with 5 motherfuckers and 1 motherfucking
1801,black sunday (1960) aka the mask of satan,9,"6, 1 bat and 2 dogs"
1302,black water,7,"3 people, 1 fetus, 2 bugs and a crocodile"
720,blackmail,2,2
231,blade,69,"22 humans, 46 vampires and a plant"
1264,blade ii,239,"34 people, 23 vampires, 86 reapers and 96 reaper fetuses"
1265,blade: trinity,254,"195 people, 55 vampires, 3 vampire dogs and Dracula"
2014,blended,1,1 baby boar
1198,bless the child,6,6
1201,blessed,6,5 and a fetus
974,blood & donuts,6,"2 people, 2 rats, 1 pigeon and 1 vampire"
143,blood and chocolate,12,12
295,blood diamond,93,92 and a baboon
430,blood diner,69,69
333,blood gnome,33,26 plus A-MAN-da and 6 blood gnomes
1230,blood guts bullets and octane,13,13
1370,blood slaughter massacre,42,42
481,blood work,7,7
1236,bloodsport,2,2 bodies and Van Damme gave us 10 full horizontal splits
864,bloodsucking freaks,13,13
1124,bloody birthday,8,8
273,bloody mallory,30,"8, 17 ghouls, a demon, a succubus, a black cat, a rat and a vampire"
1208,blubberella,31,23 people and 8 vampires
928,blue valentine,1,1
1533,boarding gate,3,3
1478,body count,7,7
842,boogeyman,5,4 and a bird
1049,boogie nights,9,9
979,boogie woogie,2,2
247,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,2,1 person and 1 bear
1106,borderland,12,11 and a goat
1457,bourne identity,9,8 and a dog
1200,bourne legacy,19,"16 people, a wolf, a fox and an elk"
1460,bourne supremacy,9,9
1477,bourne ultimatum,4,4
1911,boyhood,0,0
819,bram stokers dracula,103,"95, 1 worm, 1 baby, 1 horse, and 5 vampires"
1366,branded,3,2 people and a red cow
1000,braveheart,21338,"20,176 men and 1,162 horses"
1819,breaking the girls,2,2
906,brick,8,7 and a fetus
24,bride of chucky,10,"8 and 1 and 1/2 dolls. Also, one killer baby doll was spewed."
325,bridge to terabithia,1,1
1946,bring me the head of the machine gun woman,20,20
1714,bringing up bobby,0,0
962,brokeback mountain,4,"1, a moose, a coyote and a sheep"
598,broken arrow,27,27
1502,broken city,2,2
1169,bronx tale,6,6
704,brooklyns finest,16,16
2031,brotherhood (2010),1,1
607,brotherhood of blood,16,16
1391,brotherhood of murder,3,3
442,brotherhood of the wolf,68,"42 people, 23 wolves, 2 dogs and a beast"
448,bubble boy,1,1 cow
668,bucket of blood a bucket of blood,5,4 and a cat
1412,budz house,1,1
867,bug,3,3
1642,bullet to the head,33,33
871,bully,1,1
983,bunraku,170,170
1032,buried,1,1
1513,burke & hare,22,18 and 4 horses
422,burn after reading,2,2
1077,burning palms,3,2 and a possum
949,butch cassidy and the sundance kid,31,"29, a snake and a horse"
1216,butchered,11,10 and a dog
1326,butter (2011),2,2
1820,byzantium,12,10 and 2 vampires
1290,cabin fever,19,"16 people, a pig, a dog and a deer"
1474,cadaver christmas a cadaver christmas,24,23 zombies and Sam the ex-cop
1051,caged heat,8,8
2009,cake,0,0
1672,camille,3,2 and a blue horse
1094,camp hell,1,1 bug
808,canadian bacon,2,2
459,candy,2,1 and a fetus
788,candyman,6,5 and a dog
1500,cannibal holocaust,17,"10 natives, 1 soldier, 3 bugs, 2 fish and a muskrat"
104,cannibal! the musical,8,"6 people, 1 snowman and 1 horse"
1039,cape fear,4,3 and a dog
856,capote,6,6
1295,captain america: the first avenger,105,105
1808,captain phillips,3,3
1002,carolina,1,1
1472,carrie,135,134 and a pig
351,carrie (2002),236,235 and a pig
1738,carrie (2013),17,16 and a pig
815,case 39,7,6 and a demon child
621,casino,22,22
601,casino royale (1967),217,"207 plus a goat, a robot, 2 seals, 4 horses and 2 grouse."
524,casino royale (2006),22,22 and 1 bitch banged
246,cast away,9,"4 people, 2 crabs, 2 fish, and 1 volleyball (WILSON!!)"
872,casualties of war,19,19
1241,cat people,5,"3, a bunny, and a panther-person"
1294,catwoman,3,3
1841,changeling,11,11
1189,charade,4,4
525,cheers for miss bishop,4,4
1770,chef,0,0
1483,chernobyl diaries,6,6
1119,cherry bomb,11,11
2118,chicken run,1,1 chicken
1009,children,1,1 cat
81,children of men,15043,"39, a dog, 3 crispy cows and a refugee camp"
1177,children of the corn,23,22 and a dog
1695,children of the corn (2009),10,9 and a pig
1692,children of the corn 666: isaacs return,8,7 and a bug
1688,children of the corn ii: the final sacrifice,29,28 and a cat
1689,children of the corn iii: urban harvest,20,"18, a bug and a corn monster"
1690,children of the corn iv: the gathering,8,7 and a cricket
1691,children of the corn v: fields of terror,18,18 and a fire monster
1694,children of the corn: genesis,3,3
1693,children of the corn: revelation,19,19
21,childs play,10,5 and 5 rats
22,childs play 2,8,7 and a doll
23,childs play 3,8,7 and a doll
732,chloe,1,1
1458,choke,1,1
1851,choking hazard,9,6 people and 3 zombies
1572,choose,6,6
894,christmas evil you better watch out,4,4
1178,chrystal,3,2 and a dog
761,chuck & buck,1,1
280,cinderella,1,1
1612,cinema verite,0,0
2042,circle,50,49 and a fetus
1031,cirque du freak: the vampires assistant,1,1
2080,citizen toxie: the toxic avenger iv,2699,2698 and an unborn baby
1809,city of god,43,43
570,clash of the titans (1981),75,"69 plus 3 giant scorpions, 1 two-headed dog, Medusa and the Kraken"
571,clash of the titans (2010),1291,"1,281 plus 1 fish, 2 giant scorpions, 4 furies, Medusa, a djinn, and the kraken"
687,clay pigeons,3,3
675,clerks,1,1
1553,clockers,4,4
1854,cloud atlas,169,168 and a dog
699,cloudy with a chance of meatballs,4,1 and 3 gummie bears
34,club dread,13,"3 before the credits, then 10 more. And 2 quotes."
1437,clue,7,7
1834,cocktail,1,1
1567,code 46,2,1 and a fetus
1944,coldwater,8,8
1237,collateral,15,15
971,colombiana,32,32
1822,columbus circle,5,5
873,comic book villains,4,4
578,commando,86,86
1609,compliance,0,0
1940,compulsion,1,1 bird
652,con air,31,"30, a tank and a car"
1107,conan the barbarian,76,"71 people, 3 horses, 1 buzzard and a giant snake"
1131,confess,1,1
1417,confessions of a dangerous mind,13,13
2094,conquest of the planet of the apes,43,15 humans and 28 apes
1105,constantine,283,"5 people, 15 demons, 51 half breeds, 127 cows and 85 bugs"
1042,contagion,26000087,"Over 26 million people, 56 monkeys and one pig"
836,contract killers,8,8
1377,cool and the crazy,1,1
477,cool hand luke,6,"2, a bird, a snake, a dog and a turtle"
1376,cool world,1,1
1174,cop land,8,8
820,cop out,10,10
905,coraline,21,"8 bugs, 2 rats, 1 cocoa beetle, 2 taffy sisters, 6 dog bats, 1 spider hand and 1 Other Dad"
1786,cowboys & aliens,130,"35 people, 11 horses, 44 cows and 40 aliens"
2086,cracks,1,1
984,crank,23,22 and a bird
497,crank 2: high voltage,41,41
1452,crazy eyes,1,1
2077,crazy stupid love,0,0
1999,creature (2011),12,"9 people, 1 white alligator, 1 snake and Lockjaw"
2025,creep (2014),1,1
1066,creepshow,18,10 and 8 bugs
1086,creepshow 2,14,13 and a duck
237,critters,14,"1 bottle of whiskey, 1 cow, 1 chicken, 1 goldfish, 2 people, and 8 critters"
384,critters 2: the main course,1274,"7 people, 1 bug, 1 dog, 3 cows, 1 space thing, 1261 critters and 1 alien bounty hunter"
385,critters 3: you are what they eat,8,2 and 6 critters
403,critters 4,26,"7, 6 eggs and 13 critters"
781,cruel world,11,10 and a cow
377,crush,1,1
680,cube,6,6
253,cube 2,15,15
1348,cult of the damned,2,2
2143,cursed,5,4 and a werewolf
2149,curve,5,4 and a rat
593,cut,15,15
293,cutting class,8,7 and a fly
487,cyborg,34,"34, all human, including a toddler"
1823,cypher,16,16
1725,dallas buyers club,1,1
588,dance of the dead,85,85
2038,dances with wolves,103,"52 people, 2 dogs, 41 buffalo, 7 horses and a wolf"
409,dangerous intentions,1,1
810,dangerous love,5,5
684,danika,3,3
1285,daredevil,11,10 and a fly
1314,dark house,20,20
352,dark knight,26,26
1660,dark nature,13,"9, a pheasant and 3 rabbits"
1803,dark planet,17,17
1354,dark shadows,23,"21 people, a witch and a dog"
1887,dark skies,550,3 flocks of birds
96,dark town,25,"14 people, 9 vampires, 1 baby and 1 cat"
111,dark water,1,1
1012,darkness falls,12,11 and an evil tooth fairy ghost bitch
249,date movie,11,10 people and a rat
1303,day after tomorrow,2500500000,Most of the Northern Hemisphere
724,day of the dead (2008),118,117 and one zombie boyfriend
1172,daydream nation,4,4
783,dead air,160004,4 plus tens of thousands of people in sixteen major US cities.
47,dead alive,41,"37, 1 rat monkey, 1 monkey, 1 dog and 1 rat"
262,dead and deader,62,"52, 9 scorpions, and Dean Cain's career"
363,dead end,6,6
308,dead fury,14,13 and a squirrel
224,dead in the water,3,3
1884,dead in tombstone,43,43
539,dead men dont wear plaid,5,5
1724,dead poets society,1,1
103,dead silence,7,6 and 1 unborn child
661,dead snow,46,"10, a crow, and 35 zombie Nazis"
2125,deadfall,8,7 and a deer
1244,deadfall trail,8,"2 people, a beetle, 2 mealworms, 2 rabbits and an unknown bug"
1373,deadheads,32,18 people and 14 zombies
955,deadly detour,23,22 and a fetus 
869,dear john,2,2
2016,dear white people,0,0
314,death bed: the bed that eats,19,"16, a fly, 2 hands and 1 bed"
461,death note,25,25
1299,death of the incredible hulk,5,4 and the Incredible Hulk
1408,death proof grindhouse,6,6
1359,death racers,46,45 and Metal Man 
405,death to smoochy,3,3
3,death to the supermodels,7,7
15,death tunnel,7,7
880,death wish,11,11
1092,death wish 2,16,16
1096,death wish 3,77,75 and 2 roaches
1202,death wish 4: the crackdown,43,43
485,deception,3,3
109,deep evil,19,7 and 12 aliens
1932,deep rising,4207,"4,206 and one real unfriendly sea monster"
1713,deepstar six,10,9 people and 1 giant ugly sea creature
407,defending your life,1,1
741,defendor,2,2
1436,delhi belly,6,6
408,deliverance,4,3 and a fish
165,derailed,5,5
1450,derailed,13,13
367,deranged,5,5
1132,descendants,1,1
1633,desert hearts,0,0
375,desperado,51,51
654,despicable me,1,1 bird
1353,detention,9,9
406,deuce bigalow: european gigolo,4,4
803,deuce bigalow: male gigolo,2,1 rainbow fish and 1 chinese tailbar lionfish
648,devil,7,7
860,devil in the flesh,6,5 and 1 dog
1811,devil seed,3,3
2131,devils knot,3,3
108,devour,12,"1 cougar, 10 people and 1 deer"
690,dial m for murder,1,1
438,diamonds are forever,66,66 and only 1 bitch banged
429,diary of the dead,30,30
1697,dick tracy (1990),29,29
1902,dictator the dictator,2,2
1658,die,6,6
520,die another day,24,24 and 2 bitches banged
709,die hard,23,23
710,die hard 2,265,265
791,die hard: with a vengeance,16,16 plus 5 motherfuckers from Samuel L. Jackson
1210,die you zombie bastards!,35,"6 people, 14 zombies, 3 ninjas, 3 robots, 2 disobedient dogmen, 3 mosquito warlords, 1 fly, amphibian guy, Nefarious and Vlad the Impaler"
785,die! die! my darling!,2,2
1481,diggers,1,1
287,dirty dancing,1,1 fetus
1075,dirty harry,7,7 bodies and 4 reasons he's called Dirty Harry (1. He hates everyone.  2. He's a peeping tom.  3. He gets all the dirty jobs that no one else wants.  4. He always gets the shit end of the stick.)
202,dirty work,7,7
531,district 9,95,"48, a little alien dog, and 46 alien eggs"
193,disturbia,6,"4, 1 deer and 1 rabbit"
1742,divergent,31,31
358,divine secrets of the ya-ya sisterhood,1,1
1554,django unchained,56,"52 people, 4 horses and 5 motherfuckers"
1445,do the right thing,1,1
1316,dodgeball: a true underdog story,1,1
733,dogma,67,"57, 5 demons and 5 gang members"
242,dolores claiborne,2,2
134,domino,24,22 and 2 goldfish
1730,don jon,0,0
399,donnie brasco,6,6
579,donnie darko,1,1
370,dont be a menace to south central while drinking your juice in the hood,11,11
1469,dont be afraid of the dark,3,1 and 2 evil ass fairies
2122,dont blink,1,1
1091,dont go in the woods,13,13
2103,dont say a word,6,6
1552,dont tell mom the babysitters dead,1,1
1193,dorian gray,5,4 and 1 maggot
1405,down to the bone,1,1 mouse
425,dr no,11,"10 and a huge fucking venomous spider, plus 3 bitches banged"
2140,dr t & the women,0,0
804,dracula (1931),13,13 (including Dracula)
1790,draft day,0,0
446,drag me to hell,5,4 and a kitten
1004,dread,4,4
1644,dream a little dream,0,0
1943,dream house,2,2
1795,dreamcatcher,108,"14 people, 1 dog, 1 deer, 29 giant alien ass penis monsters, 3 alien ass worms, 19 alien ass worm babies, 40 alien ass worm eggs and 1 Duddits"
929,dreamscape,5,5
1401,dredd,87,87
989,drive,10,10
887,drive angry,67,67
591,drive thru,14,14
68,drop dead gorgeous,7,"5, plus a trailer exploded and one girl lost her hearing"
1052,drugstore cowboy,1,1
331,duets,2,2
1103,dumb and dumber,2,1 and a bird
715,dune,270,268 and 2 sandworms
2039,duress,5,4 and a bird
1054,dust ,62,"58, 2 sheep, a stillborn baby and an unborn baby"
1874,dysfunctional friends,0,0
419,eagle eye,61,61
1889,earth to echo,0,0
371,earth vs the spider,13,12 and one mutant man-spider
948,easter bunny kill! kill!,8,8
361,eating raoul,12,12
1360,ed and his dead mother,22,2 people and 20 bugs
26,ed gein,8,"6, a pig and a rat"
568,ed wood,1,1
875,edge of darkness,12,12
1217,edge of sanity,6,6
1723,edge of tomorrow,0,0
343,edward scissorhands,2,2
1289,elektra,22,22
600,elephant,13,13
1381,elizabeth,482,482
1382,elizabeth: the golden age,704,704
1538,elysium,69,69
844,empire of the sun,14,14
324,enchanted,3,"1 cockroach, 1 bag of bird seed (which was stabbed with a sword), and 1 evil witch queen who was killed while in dragon form."
2074,enemy of the state,13,13
307,epitaph,10,10
1003,equilibrium,187,180 people and 7 dogs
2046,escape from the planet of the apes,6,"2 humans, 3 apes and 1 chimpanzee"
1798,escape from tomorrow,2,1 and an android
1622,eternal sunshine of the spotless mind,0,0
402,event horizon,3,3
924,everything is illuminated,1025,"1,025"
1234,eves bayou,4,4 and 0 motherfuckers
