movieskey,moviename,deathcount,deathcomment
1,King Kong ,71,"26 with Ape. Also 3 dinosaurs, 4 T-Rexes, 35 various giant insects and 3 giant bats."
2,Wrong Turn,8,"8	"
3,"Death to the Supermodels	",7,7
4,"Zombie Honeymoon	",10,"10	"
5,"Ginger DEAD Man	",7,6 and a cookie
6,Punisher,58,58
7,The Baby,3,a disappointing 3
8,"Return of the Living Dead: Necropolis	",103,103
9,"Jeepers Creepers	",8,8
10,"Jason X	",250023,"250,023"
11,"Final Destination	",292,"292	"
12,"Killer Klowns from Outer Space	",65,"43, plus 19 klowns, 1 dog, 1 balloon dog and a puppet"
13,"Mr. Jingles	",17,17
1346,The Mask,7,7
14,"Satan's Little Helper	",16,15 and a cat
15,"Death Tunnel	",7,7
16,Andre the Butcher,15,15
17,Troll,5,"3 people, 1 demon and a cop"
18,Hatchetman,9,"7, one 1/2 dead hatchetman, and one doomed engagement"
19,Troll 2,10,5 people and a witch and some goblins via a double decker bologna sandwich and dear god I wish I was kidding.  Terrible.
20,Katiebird,4,4
21,Child's Play,10,5 and 5 rats
1520,Pitch Black,63,40 and 23 aliens
22,"Child's Play 2	",8,7 and a doll
23,Child's Play 3,8,7 and a doll
24,Bride of Chucky,10,"8 and 1 and 1/2 dolls. Also, one killer baby doll was spewed.	"
25,"Seed of Chucky	",12,10 and 2 dolls
26,Ed Gein,8,"6, a pig and a rat"
27,Alien vs. Predator,2350,"26 humans, 6 predators, 85 face huggers, 2,233 aliens and 1 baby alien"
28,Are you Scared?,7,7
29,Amityville Horror (2005),7,6 and a dog
30,O,5,5
31,Pet Sematary,11,"9, 1 cat and 1 mouse"
32,Beyond the Wall of Sleep,17,"15, 1 fly and 1 monster"
33,The Texas Chainsaw Massacre: The Beginning,11,10 and a cow
34,Club Dread,13,"3 before the credits, then 10 more. And 2 quotes."
35,Resident Evil,30,"21, 8 dogs and 1 licker"
36,Resident Evil: Apocalypse,50120,"111, plus 1 that we almost missed because we were too busy talking about sex, 4 dogs, 3 lickers and an entire city (including 1 nemesis boyfriend)"
37,The Break-Up,1,1 relationship
38,Trapped,1,1
39,Little Shop of Horrors,3,"2 and a plant<br />(However, in the original ending that Frank Oz shot, the true body count would be 4 and no plant. Test audiences hated this ending "
40,Pet Sematary II,34,"7 people, 2 dogs (1 euthanized, 1 shot), 3 kittens, 22 rabbits, and 1 zombie rape"
41,Mutant,30,29 and 1 Monte Carlo
42,Formula 51,16,"15 and 1 exploded Meatloaf, plus Samuel L. Jackson said motherfucker 5 times."
43,Lucky Number Slevin,22,"20 people, 1 horse, and 1 apartment"
44,Monster House,2,1 and a monster house (More people were eaten by the monster house but at the end they magically reappeared and we had to cross them off the list.)
1387,Life of Pi,328,"25, a goat, a giraffe, a camel, an ostrich, a warthog, 6 birds, 5 monkeys, an ibex, a cheetah, a hippo, 2 orangutans, a rhino, a zebra, a hyena, a rat, 2 big fish, a boatload of flying fish, 45 jellyfish, 40 fish eaten by acid and 61 meerkats"
45,Hellraiser ,7,6 and 1 rat
46,Hellraiser II: Hellbound,33,33
47,Dead Alive,41,"37, 1 rat monkey, 1 monkey, 1 dog and 1 rat"
48,Pumpkinhead,8,7 and a demon
49,Gremlins,132,3 people and 129 gremlins
50,House of 1000 Corpses,15,15
51,The Devil's Rejects,20,20
52,Hellraiser III: Hell on Earth,178,177 people & 1 head explosion
53,Hellraiser IV: Bloodline,15,"12 plus 1 dove, 1 demon dog, and 1 robot (exploded)"
54,Hellraiser V: Inferno,9,9
55,Hellraiser VI: Hellseeker,5,5
56,Little Nikita,5,5
57,Night of the Living Dead (1990),19,19
58,Bad Santa,1,1
59,Pulse,7,6 and a plane
60,The Mosquito Coast,4,4
61,"Time Bandits	",1552,"37, plus 1 minotaur, 1 rat, 1 Evil Genius and everyone that died on the Titanic"
62,Munchies,13,"2 people, 8 munchies and some tropical fish"
63,Gremlins 2: The New Batch,325,"3 people, 322 gremlins"
64,The Bride,5,4 and a midget
65,Hellraiser VII: Deader,11,11
66,Hope Floats,1,1
67,Wonderland,4,4
68,Drop Dead Gorgeous,7,"5, plus a trailer exploded and one girl lost her hearing	"
69,Primeval,20,20
70,Ghoulies,1,1 (I hate when people come back to life)
71,"Ghoulies II, Ghoulies 2",12,"7 people, 4 ghoulies, and one ghoulie eater"
72,Layer Cake,11,11
73,Bad Taste,66,"60, plus 5 seagulls and 1 sheep"
74,Parents,3,3
75,Storm of the Century,11,11
76,Underworld,45,"15 vampires, 29 lycan and one half lycan, half vampire fetus"
77,Open Water,3,2 whiny assholes and one underwater camera eaten by a mako shark
78,The Scorned,42,"4, plus 1 death by a kamikaze goldfish, 2 deaths by lava lamp, one phone and all of the careers of the ""actors"" involved in making this movie."
79,In Her Shoes,1,1 old man
80,Final Destination 2,26,26
81,Children of Men,15043,"39, a dog, 3 crispy cows and a refugee camp"
82,"Tombstone	",31,31
83,The Skeleton Key,3,3
84,Final Destination 3,14,11 plus 2 fried bitches and a pigeon
85,The Lost Boys,14,9 humans and 5 vampires
86,Snatch,21,21
87,The Running Man,96,"18 before the opening titles ended, 60 innocent men, women & children, 4 stalkers and then 14 more people"
88,The Departed,20,19 and a fly
89,Millennium,14,13 and 1 personal robot
90,Tremors,34,"9 people, 20 sheep, 1 horse, 4 graboids"
91,Tremors 2: Aftershocks,75,"3, plus 1 coyote and 71 graboids	"
92,Stay Alive,10,9 and a vampire
93,The French Connection,13,13
94,Zodiac,3,3
95,Evil Breed: The Legend of Samhain,12,11 and 1 inbreed
1495,Sudden Death,36,36
96,Dark Town,25,"14 people, 9 vampires, 1 baby and 1 cat"
97,Night of the Comet,4769000095,The entire population of Earth in 1984 minus 6 people plus 2 cars
98,"Puff, Puff, Pass",1,1
99,"Let's Go to Prison	",1,1
100,Snakes on a Plane,118,"62 people, 54 snakes, 1 cat and 1 dog. Also, Samuel L. Jackson said motherfucker/ing five times."
101,Total Recall,68,"49, plus 16 fish, 1 rat, 1 Jonny Cab and 1 three-breasted mutant hooker"
102,The Prestige,108,105 and 3 birds
103,Dead Silence,7,6 and 1 unborn child
104,Cannibal! The Musical,8,"6 people, 1 snowman and 1 horse"
105,Sleepers,8,8
106,Beerfest,17,"4, a trophy, a deer, and a batch of monkey-frogs		"
107,The Island,64,"22, plus 2 police officers and 40 ""defective"" (read: free-thinking) clones"
108,Devour,12,"1 cougar, 10 people and 1 deer	"
109,Deep Evil,19,7 and 12 aliens
110,Rory O'Shea Was Here,1,1
111,Dark Water,1,1
112,Turistas,10,10
113,Black Christmas,7,7
114,"Face of Terror	",33,33
115,The Hills Have Eyes (2006),19,"15, 1 fish, 1 lizard, 1 dog and 1 bird"
116,Petrified,9,"6 people and 1 alien mummy destroyed by salt like a slug. Also, one woman's hair and one FBI partner mysteriously disappeared between one scene and the next."
117,Komodo vs. Cobra,19,"15, plus 1 yacht, 2 giant komodos and 1 giant cobra"
118,Kid with the Golden Arms,70,70
119,"Adrenalin: Fear the Rush	",17,17
120,Python,15,14 and 1 giant genetically-enhanced python
121,The Nest,48,"7 people, 1 dog, 1 rat, 1 cat-roach, 1 roach-man, 1 Roach Master Deluxe and at least 36 roaches"
122,"The Life Aquatic with Steve Zissou	 ",13,"11, 1 research turtle and 1 rhinestone bluefin"
123,Night Train to Terror,27,16 and 11 musicians
124,Platoon,570,569 and a pig
125,Napoleon Dynamite,1,1 cow
126,Party Monster,3,3
127,Alpha Dog,1,1
128,"The Hitcher 	 ",23,"21 people, 1 rabbit and 1 dragonfly"
129,"Terminator 1	",39,"37, 1 machine and 1 terminator"
130,Terminator 2: Judgment Day,13,"10, 1 flying machine and 2 terminators"
131,Pirates of the Caribbean: The Curse of the Black Pearl,17,"17	"
132,Pirates of the Caribbean: Dead Man's Chest,57,56 and a hermit crab
133,"Pirates of the Caribbean: At World's End	",88,88
134,Domino,24,22 and 2 goldfish
135,Apocalypto,66,"59 people, 1 tapir, 3 ants, 1 jaguar, 1 monkey and 1 snake"
136,"Farce of the Penguins	",3,3 penguins died and Samuel L. Jackson said motherfucker one time.
137,Monster,4,4
138,Smokin' Aces,35,35
139,Tremors 3: Back to Perfection,45,"5 people, 30 shreikers, 2 cows, 1 graboid and 7 assblasters"
140,V for Vendetta,64,64
141,Midnight Cowboy,1,1
142,Swordfish,37,36 and a yacht
143,"Blood and Chocolate	",12,12
144,"Heat	",18,18
145,The Dead Girl,1,1
146,The Messengers,6,4 and 2 crows
147,The Thirst,191,"39, a club full of people and 2 cats	"
148,Jarhead,753,"752 and a scorpion	"
149,Mr. Brooks,8,8
150,Tremors 4: The Legend Begins,33,29 and 4 dirt-dragons
151,Starsky & Hutch,3,"1, an iguana tail and a pony"
152,Reno 911!: Miami: The Movie,7,"5 people, 1 whale, and an ice cream truck"
153,Terminator 3: Rise of the Machines,3000000022,"3,000,000,017, one TX, two T-1's, one T-101, and one flying thing"
154,"History of Violence, A History of Violence",13,13
155,Ghost Rider,26,"21, 4 demons and an iguana	"
156,Art School Confidential,153,3 and an apartment building
157,Biker Boyz,2,2
158,Striptease,2,2
159,Live Free or Die Hard,41,41
160,We Were Soldiers,1753,"1,753"
161,Saw,7,6 and a foot
162,Saw II,9,9
163,"Network	",2,2
164,Flesh+Blood,40,"38, plus a dog and a stillborn baby"
165,Derailed,5,5
166,Saving Silverman,1,1
167,Big Nothing,5,5
168,Saw III,9,9
169,Premonition,3,2 people and 1 crow
170,The Hitchhiker's Guide to the Galaxy,6486329384,"Planet Earth, minus 2 people, minus 2 aliens, and minus all of the dolphins. Plus 2 crabs, 1 sperm whale, 1 bowl of petunias and an entire battle fleet of strange and warlike beings resplendent in black jeweled battle shorts. Plus two mice."
171,The Number 23,3,3
172,My Super Ex-Girlfriend,1,1 shark
173,The Contract (2006),14,14
174,Shaun of the Dead,35,34 and a pigeon
175,Evil Dead (1981),4,4
176,Evil Dead 2: Dead by Dawn,7,6 and a flying demon
177,A Nightmare on Elm Street ,4,4
178,"Venom	",11,11
179,"Pathfinder	",243,"240, 2 horses and 1 bear	"
180,Hot Fuzz,17,17
181,Bats,10264,"28 people and 10,236 bats"
182,"Things to Do in Denver When You're Dead	",15,15
183,"Mystery Men	",106,6 and a blown-up asylum
184,The Notebook,6,6
185,"Slow Burn	",8,7 and a fly
186,Two Brothers,2,2 tigers
187,I Think I Love My Wife,2,2 policemen
188,"Hostel	",12,12
189,187,6,"4 people, 1 rat and 1 dog. Samuel L. Jackson did not say motherfucker even once. Very disappointing."
190,The League of Extraordinary Gentlemen,82,82
191,A Nightmare on Elm Street 2: Freddy's Revenge,11,"4, plus 2 birds, 1 rat and 4 fish"
192,Wet Hot American Summer,2,2
193,Disturbia,6,"4, 1 deer and 1 rabbit"
194,Menace II Society,8,8
195,Practical Magic,4,4
196,"Panic Room	",2,2
197,A Nightmare on Elm Street 3: Dream Warriors,6,6
198,Rules of Engagement,97,97 and 5 motherfuckers from Samuel L. Jackson
199,"Rollercoaster	",21,"20, plus one mad bomber killed by irony"
200,"From Dusk Till Dawn	",94,23 humans and 71 vampires
201,Killer Drag Queens on Dope,12,12
202,Dirty Work,7,7
203,"Antibodies	",7,"4, 2 dogs and a porcupine"
204,Prom Night,7,7
205,"South Park: Bigger, Longer & Uncut",2,"2. That's right, I said TWO. The 312 people, 2 bears, robot king and demon that died in the war DON'T COUNT!	"
206,A Nightmare on Elm Street 4: The Dream Master,7,6 and a bug
207,The Descent,17,"7, plus 10 mutant-things	"
208,Flushed Away,27,3 flies and 2 bowls of maggots
209,The Fifth Element,320,"22 humans, plus an entire space battleship, 26 mangolores, 3 mondoshawans, 17 parasites, one cockroach and one diva	"
210,Perfume,28,"27, 1 cat, and the biggest orgy EVER."
211,Margarita Happy Hour,1,1
212,The Shadow Walkers,35,"15 before the opening titles and then 12 more, plus 8 genetically-altered mutants"
213,"Running with Scissors	",1,1 cat
214,Ice Age 2,4,"A turtle, 2 dinosaurs, and a dodo (bird)"
215,Scary Movie,17,17
1647,The Prophecy II,9,5 people and 4 angels
216,Independence Day,12702478,"1,702,461 humans and 11,000,017 aliens"
217,The Simpsons Movie,106,"2, plus all 3 members of Green Day, 77 fish and 24 swallows"
218,"Freddy vs. Jason	",85,20 people and 65 maggots
219,Four Brothers,14,14
220,Hard Boiled,235,235
221,The Butterfly Effect,1,1 unborn child. Unless you watch the theatrical version and then it's ZERO.
222,30 Days of Night,165,"146 people, 12 vampires and 7 dogs"
223,"The Last Samurai	",1592,"1,562 people and 30 horses"
224,Dead in the Water,3,3
225,Long Kiss Goodnight,52,"50, a deer, a cricket, and Samuel L. Jackson graced us with two motherfuckers."
226,Bee Movie,1,1 bug
227,"A Nightmare on Elm Street 5: The Dream Child	",4,3 and a doll
228,Saw IV,9,9
229,Mr. Deeds,1,1
230,Mirror of Death,3,3
231,Blade,69,"22 humans, 46 vampires and a plant"
232,The Blob (1958),6,6
233,Strange Days,13,12 and a dog
234,Transformers,2024,"2,019 humans, 1 Autobot, 3 Decepticons and 1 baby Decepticon"
235,The Return,2,2
236,"Kingdom of Heaven	",1594,"1,578 and 16 horses	"
237,Critters,14,"1 bottle of whiskey, 1 cow, 1 chicken, 1 goldfish, 2 people, and 8 critters"
238,The Big Lebowski,1,1
239,Anchorman: The Legend of Ron Burgundy,2,1 and a squirrel
240,"Last Quarter	",2,2
241,The Anarchist Cookbook,17,17
242,Dolores Claiborne,2,2
243,See No Evil (1971),4,4
244,"No Country for Old Men	",18,"17 and a dog	"
245,Awake,2,2
246,Cast Away,9,"4 people, 2 crabs, 2 fish, and 1 volleyball (WILSON!!)	"
247,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2,1 person and 1 bear
1514,Inhale,8,8
248,Hannibal Rising,32,"30 people, a fish and a bird"
249,Date Movie,11,10 people and a rat
250,"Team America: World Police	",2066,"2,066 plus 1 motherfucker from Samuel L. Jackson's puppet."
251,Swimming Pool,1,1
252,28 Days,1,1
253,Cube 2,15,15
254,The Hollywoohe Sd Strangler Meets the Skid Row Slasher,12,12
255,The Cave,9,"6 and 3 cave creatures	"
256,Phantoms,11,10 and a dog
257,Amityville Horror (1979),6,6
258,Sweeney Todd: The Demon Barber of Fleet Street,15,12 and 3 bugs
259,Halloween (2007),22,"20, a rat and a coyote"
260,A Nightmare on Elm Street 6: Freddy's Dead: The Final Nightmare,6,"4, a hamster, and Freddy	"
261,Nobody Knows,1,1
262,"Dead and Deader	",62,"52, 9 scorpions, and Dean Cain's career"
263,The Opposite of Sex,1,1
264,High Tension,6,"5 and a dog	"
265,The Hudsucker Proxy,2,2
266,The Wild,1,"1 wildebeest	"
267,There Will Be Blood,12,5 and 7 quail
268,Three Kings,22,21 and a cow
269,Wes Craven's New Nightmare,5,4 and Freddy again
270,Madhouse,7,7
271,Renegade,30,28 and 2 horses
272,No Reservations,1,1
273,Bloody Mallory,30,"8, 17 ghouls, a demon, a succubus, a black cat, a rat and a vampire"
274,"Friday the 13th	",11,10 and a snake
275,Magnolia,30000000,"8, a dog, and a whole LOT of frogs"
276,Fright Night (1985),6,"3 humans, 2 vampires, and a guy who was neither human nor vampire"
277,Friday the 13th Part 2,9,9
278,Sleepwalkers,11,"7, 2 sleepwalkers and 2 cats"
279,The Green Mile,7,7
280,Cinderella,1,1
281,Friday the 13th Part 3,13,12 and an unborn baby
282,The Tommyknockers,12,4 and 8 aliens
283,28 Weeks Later,10211,"10,211	"
284,Q: The Winged Serpent,17,"15 humans and 2 Qs. Jon further broke this down for us as follows: 4 decapitations, 1 skinning, 10 other, mostly dropped from high up. Also, all his predictions came true.	"
285,"Reefer Madness	",3,3
286,Friday the 13th Part 4: The Final Chapter,14,14
287,"Dirty Dancing	",1,1 fetus
288,Bambi,3,"1 deer, 2 pheasants"
289,Shaded Places,2,1 and a dog
290,The Usual Suspects,42,41 and a dog
291,The Sisterhood of the Traveling Pants,1,1
292,Battle Royale,43,43
293,Cutting Class,8,7 and a fly
294,Friday the 13th Part 5: A New Beginning,19,19
295,"Blood Diamond	",93,"92 and a baboon	"
296,Romeo + Juliet,5,5
297,A.I. Artificial Intelligence,7,"6 Robots and 1 human recreated by robots	"
298,Jaws,8,"5, 2 sharks and a dog	"
299,The Ice Pirates,20,"10 humans, 1 frog lady and 9 robots"
300,300,3977,"3,971 people, 1 battle rhinocerous, 3 elephants, 1 giant wolf and a big orc-looking dude	"
301,Forrest Gump,17,"13 plus Elvis, JFK, Bobby Kennedy, and John Lennon	"
302,Bad Biology,5,4 plus one large mutant penis
303,Fried Green Tomatoes,6,5 plus one arm
304,Who is KK Downey?,1,1
305,Thank You for Smoking,1,1
306,Soo,26,26
307,Epitaph,10,10
308,Dead Fury,14,"13 and a squirrel	"
309,Pistoleros,5,4 and a dog
310,Jack Brooks: Monster Slayer,17,15 and 2 dogs
311,"Trailer Park of Terror	",10,10
312,The Last House in the Woods,10,10
313,"Timecrimes	",1,1
314,Death Bed: The Bed That Eats,19,"16, a fly, 2 hands and 1 bed	"
315,Lake Placid,5,"2, a bear, a cow and a giant crocodile"
316,"American Dreamz	",2,2
317,How High,14,1 and 13 pigeons
318,Muppets From Space,1,1 cat
319,Rolling Kansas,4,3 ducks that looked like geese and one accidental rabbit smothering
320,Kung Pow: Enter the Fist,48,"43 people, a dog, 2 moths, a big toe, a stomach plug and one French alien UFO"
321,Man of the House,4,4
322,Friday the 13th Part 6: Jason Lives,18,17 (including a 3-for-one decapitation) and 1 bug
323,Fido,13,13
324,Enchanted,3,"1 cockroach, 1 bag of bird seed (which was stabbed with a sword), and 1 evil witch queen who was killed while in dragon form."
325,Bridge to Terabithia,1,1
326,Shrek the Third,4,1 Frog King Dad-in-Law and 3 bugs
327,"The Spongebob Squarepants Movie	 ",2,2 fish
328,The Rocky Horror Picture Show,4,4
329,The Happening,47,47
330,Reefer Madness: The Movie Musical,6,"5 and a fly	"
331,Duets,2,"2	"
332,Frankenhooker,13,12 and a guinea pig
333,Blood Gnome,33,26 plus A-MAN-da and 6 blood gnomes
334,"Friday the 13th Part 7: The New Blood	",16,16
335,Friday the 13th Part 8: Jason Takes Manhattan,22,22
336,Get Smart,14,13 and a robot fly
337,The Golden Compass,55,54 and an ice bear
338,Hancock,1,1
339,"Batman Begins	",6,6
340,"Ferngully: The Last Rainforest	",2,"1 fairy, 1 snail"
341,Friday the 13th Part 9: Jason Goes to Hell,22,22
342,The Boondock Saints,36,35 and a cat
343,Edward Scissorhands,2,2
344,Big Trouble in Little China,36,"35 and a thing they called a guardian but which I think looks like a beholder. Not a behemoth, which is what I said the first time. Wrong b word."
345,"Schizopolis	",2,2
346,The Magician,1,1
347,Road Trip,1,1
348,"Sweet Home Alabama	",1,1 mosquito
349,Undercover Brother,8,8
350,Zombie Strippers,44,43 and a fly
351,Carrie (2002),236,235 and a pig
352,Dark Knight,26,26
353,The Family Stone,1,1
354,Amadeus,3,3
355,Til There Was You,1,"1	"
356,"S.W.A.T.	",20,20 and 0 motherfuckers
357,National Treasure,2,2
358,"Divine Secrets of the Ya-Ya Sisterhood	",1,1
359,The Last House on the Left,6,6
360,"The	Thing",24,"12 people, 5 dogs and 7 ""things""	"
361,Eating Raoul,12,12
362,Quest for Camelot,2,"2	"
363,Dead End,6,6
364,Motel Hell,6,6
365,Taxi Driver,4,4
366,Airplane!,10,10
367,Deranged,5,5
368,Fallen,8,"8	"
369,"Across the Universe	",10,"9 and Martin Luther King, Jr."
370,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11,11
371,Earth vs. the Spider,13,12 and one mutant man-spider
372,The Tripper,26,"24 and 2 dogs	"
373,Resident Evil 3: Extinction,15576,"576, 3 dogs and an entire flock of demon birds"
374,Suicide Club,80,78 and 2 small animals
375,Desperado,51,51
376,Trainspotting,2,1 and a baby
377,Crush,1,1
378,Ultraviolet,311,310 and an unborn child
379,Billy Madison,6,6
380,Asylum,7,7
381,Saw V,5,5
382,The Strangers,2,2
383,Forgiving the Franklins,4,4
384,Critters 2: The Main Course,1274,"7 people, 1 bug, 1 dog, 3 cows, 1 space thing, 1261 critters and 1 alien bounty hunter"
385,Critters 3: You are What They Eat,8,2 and 6 critters
386,The Secret Life of Bees,3,2 and a cockroach
387,Serenity,197,"196 and a bug	"
388,Reservoir Dogs,11,11
389,Army of Darkness,77,77
390,The Midnight Meat Train,17,17
391,Noriko's Dinner Table,85,85
392,28 Days Later,33,32 and a monkey
393,Quantum of Solace,24,23 and a fly and 1 bitch banged
394,I Know Who Killed Me,2,2
1239,The Devil Inside,1,1
395,The Fugitive,7,7
396,"I Know What You Did Last Summer	",15,6 and 9 crabs
397,Alice's Restaurant,2,2
398,Gattaca,5,2 and 3 zygotes
399,Donnie Brasco,6,6
400,Scarface,42,42
401,The Signal,53,53
402,Event Horizon,3,3
403,Critters 4,26,"7, 6 eggs and 13 critters"
404,High Times' Potluck,2,2
405,Death to Smoochy,3,3
406,Deuce Bigalow: European Gigolo,4,4
407,Defending Your Life,1,1
408,"Deliverance	",4,3 and a fish
409,Dangerous Intentions,1,1
410,Black Snake Moan,0,no one died but Samuel L. Jackson graced us with 5 motherfuckers and 1 motherfucking
411,Street Kings,12,12
412,Tropic Thunder,4,"1, a bat, a panda and a Tivo"
413,"Southland Tales	",524,24 and a mega-zeppelin
414,Up in Smoke,2,1 bird and 1 dog
415,What Ever Happened to Baby Jane?,3,"1, a bird and a rat"
416,Antitrust,2,2
417,The Blob (1988),28,27 and a rat
418,Batman: The Movie,11,"5, a shark, an octopus and 4 noble porpoises"
419,Eagle Eye,61,61
420,Pineapple Express,21,"19, a bug and a very large crop of marijuana"
421,Bad Dreams,37,37
422,Burn After Reading,2,2
423,My Bloody Valentine (2009),31,31
424,Friday the 13th (2009),15,15
425,Dr. No,11,"10 and a huge fucking venomous spider, plus 3 bitches banged"
426,From Russia With Love,23,"22, 1 siamese fighting fish, and 2 bitches banged"
427,Goldfinger,60,60 and 2 bitches banged
428,Thunderball,45,"44, a shark, and 3 bitches got banged"
429,Diary of the Dead,30,30
430,Blood Diner,69,69
431,The Secret of NIMH,3,3 rats
432,Basic,3,3
433,Repo! The Genetic Opera,14,14
434,Kill Bill: Volume 1,51,51
435,You Only Live Twice,77,77 and 3 bitches banged
436,Nurse Betty,4,4
437,On Her Majesty's Secret Service,20,20 and 3 bitches banged
438,"Diamonds are Forever	",66,66 and only 1 bitch banged
439,Live and Let Die,8,"6, a snake, a crocodile, and 3 bitches banged"
440,Gangs of New York,95,94 and a rat
441,"The Warriors	",2,2
442,Brotherhood of the Wolf,68,"42 people, 23 wolves, 2 dogs and a beast"
443,The Zombie Diaries,28,28
444,The Man with the Golden Gun,7,7 and 2 bitches banged
445,Memento,4,4
446,Drag Me to Hell,5,4 and a kitten
448,Bubble Boy,1,1 cow
449,X-Men Origins: Wolverine,48,47 and a bear
450,Pride and Glory,11,11
451,Transformers: Revenge of the Fallen,7071,"7,049 people, 14 Decepticons, 5 baby Decepticons, 1 Decepticon hatchling, 1 Autobot that used to be a Decepticon, and 1 goat"
452,Jesus Christ Vampire Hunter,46,46
453,Spy Who Loved Me,111,"44, a fish, a shark and two submarines full of guys in orange jumpsuits. Oh, and two bitches banged"
